0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	3.341683e-07	3.341687e-07	4.138865e-13	4.140014e-13
2.000000e-02	2.680054e-06	2.680054e-06	8.152103e-13	3.972279e-13
3.000000e-02	9.067907e-06	9.067908e-06	1.203515e-12	3.802857e-13
4.000000e-02	2.154838e-05	2.154839e-05	1.578569e-12	3.631733e-13
5.000000e-02	4.219275e-05	4.219275e-05	1.940142e-12	3.458889e-13
6.000000e-02	7.309309e-05	7.309309e-05	2.288172e-12	3.284308e-13
7.000000e-02	1.163625e-04	1.163625e-04	2.621380e-12	3.107972e-13
8.000000e-02	1.741353e-04	1.741354e-04	2.940599e-12	2.929864e-13
9.000000e-02	2.485674e-04	2.485674e-04	3.245100e-12	2.749967e-13
1.000000e-01	3.418362e-04	3.418362e-04	3.534351e-12	2.568260e-13
1.100000e-01	4.561409e-04	4.561409e-04	3.808378e-12	2.384729e-13
1.200000e-01	5.937032e-04	5.937032e-04	4.066262e-12	2.199352e-13
1.300000e-01	7.567666e-04	7.567667e-04	4.308374e-12	2.012113e-13
1.400000e-01	9.475977e-04	9.475977e-04	4.533883e-12	1.822991e-13
1.500000e-01	1.168485e-03	1.168485e-03	4.742237e-12	1.631968e-13
1.600000e-01	1.421742e-03	1.421742e-03	4.933732e-12	1.439029e-13
1.700000e-01	1.709703e-03	1.709703e-03	5.107639e-12	1.244144e-13
1.800000e-01	2.034726e-03	2.034726e-03	5.263249e-12	1.047306e-13
1.900000e-01	2.399195e-03	2.399195e-03	5.400984e-12	8.484879e-14
2.000000e-01	2.805516e-03	2.805516e-03	5.519640e-12	6.476717e-14
2.100000e-01	3.256120e-03	3.256120e-03	5.619354e-12	4.448386e-14
2.200000e-01	3.753461e-03	3.753461e-03	5.699309e-12	2.399608e-14
2.300000e-01	4.300020e-03	4.300020e-03	5.760241e-12	3.302913e-15
2.400000e-01	4.898301e-03	4.898301e-03	5.800355e-12	1.759703e-14
2.500000e-01	5.550833e-03	5.550833e-03	5.819210e-12	3.870793e-14
2.600000e-01	6.260173e-03	6.260173e-03	5.817782e-12	6.003161e-14
2.700000e-01	7.028901e-03	7.028901e-03	5.794234e-12	8.156994e-14
2.800000e-01	7.859625e-03	7.859625e-03	5.748957e-12	1.033248e-13
2.900000e-01	8.754976e-03	8.754976e-03	5.681178e-12	1.252961e-13
3.000000e-01	9.717615e-03	9.717615e-03	5.590755e-12	1.474913e-13
3.100000e-01	1.075023e-02	1.075023e-02	5.476435e-12	1.699067e-13
3.200000e-01	1.185553e-02	1.185553e-02	5.338925e-12	1.925497e-13
3.300000e-01	1.303626e-02	1.303626e-02	5.176599e-12	2.154203e-13
3.400000e-01	1.429518e-02	1.429518e-02	4.989838e-12	2.385185e-13
3.500000e-01	1.563510e-02	1.563510e-02	4.777921e-12	2.618461e-13
3.600000e-01	1.705883e-02	1.705883e-02	4.539671e-12	2.854161e-13
3.700000e-01	1.856923e-02	1.856923e-02	4.276128e-12	3.092193e-13
3.800000e-01	2.016918e-02	2.016918e-02	3.985680e-12	3.332593e-13
3.900000e-01	2.186159e-02	2.186159e-02	3.667757e-12	3.575436e-13
4.000000e-01	2.364940e-02	2.364940e-02	3.322200e-12	3.820722e-13
